[Tue Apr 05 15:43:51.439999 2016] [core:crit] [pid 9332] (13)Permission denied: [client 127.0.0.1:51303] AH00529: /home/matias/Work/justicia/jus/app/.htaccess pcfg_openfile: unable to check htaccess file, ensure it is readable and that '/home/matias/Work/justicia/jus/app/' is executable
[Tue Apr 05 15:43:51.650906 2016] [core:crit] [pid 9332] (13)Permission denied: [client 127.0.0.1:51303] AH00529: /home/matias/Work/justicia/jus/app/.htaccess pcfg_openfile: unable to check htaccess file, ensure it is readable and that '/home/matias/Work/justicia/jus/app/' is executable
[Tue Apr 05 15:43:51.827887 2016] [core:crit] [pid 9332] (13)Permission denied: [client 127.0.0.1:51303] AH00529: /home/matias/Work/justicia/jus/app/.htaccess pcfg_openfile: unable to check htaccess file, ensure it is readable and that '/home/matias/Work/justicia/jus/app/' is executable
[Tue Apr 05 15:44:00.189252 2016] [core:crit] [pid 9331] (13)Permission denied: [client 127.0.0.1:51304] AH00529: /home/matias/Work/justicia/jus/app/.htaccess pcfg_openfile: unable to check htaccess file, ensure it is readable and that '/home/matias/Work/justicia/jus/app/' is executable
[Tue Apr 05 15:44:03.094456 2016] [core:crit] [pid 9331] (13)Permission denied: [client 127.0.0.1:51304] AH00529: /home/matias/Work/justicia/jus/app/.htaccess pcfg_openfile: unable to check htaccess file, ensure it is readable and that '/home/matias/Work/justicia/jus/app/' is executable
[Tue Apr 05 15:57:12.566265 2016] [core:crit] [pid 9411] (13)Permission denied: [client 127.0.0.1:51480] AH00529: /home/matias/Work/justicia/jus/app/.htaccess pcfg_openfile: unable to check htaccess file, ensure it is readable and that '/home/matias/Work/justicia/jus/app/' is executable
[Sat Apr 09 16:51:59.646490 2016] [:error] [pid 9411] [client 127.0.0.1:35003] PHP Fatal error:  Class 'Vehiculo' not found in /home/matias/Work/justicia/jus/app/Controller/Component/MiscComponent.php on line 15
[Mon Apr 11 15:32:57.066107 2016] [:error] [pid 3612] [client 127.0.0.1:47528] PHP Parse error:  syntax error, unexpected 'var' (T_VAR) in /home/matias/Work/justicia/jus/app/View/Audiencias/nueva_audiencia.ctp on line 37
[Mon Apr 11 15:33:05.810420 2016] [:error] [pid 4707] [client 127.0.0.1:47530] PHP Parse error:  syntax error, unexpected ';' in /home/matias/Work/justicia/jus/app/View/Audiencias/nueva_audiencia.ctp on line 37
[Tue Apr 12 10:09:57.166820 2016] [:error] [pid 4200] [client 127.0.0.1:59832] PHP Parse error:  syntax error, unexpected ':', expecting ')' in /home/matias/Work/justicia/jus/app/Model/Sala.php on line 18
[Tue Apr 12 10:10:22.167188 2016] [:error] [pid 4197] [client 127.0.0.1:59836] PHP Parse error:  syntax error, unexpected ':', expecting ')' in /home/matias/Work/justicia/jus/app/Model/Sala.php on line 18
[Tue Apr 12 10:16:19.200622 2016] [:error] [pid 4193] [client 127.0.0.1:59875] PHP Parse error:  syntax error, unexpected ')' in /home/matias/Work/justicia/jus/app/Controller/AudienciasController.php on line 24
[Tue Apr 12 10:16:19.580263 2016] [:error] [pid 1333] [client 127.0.0.1:59876] PHP Parse error:  syntax error, unexpected ')' in /home/matias/Work/justicia/jus/app/Controller/AudienciasController.php on line 24
[Tue Apr 12 11:19:44.573116 2016] [:error] [pid 4128] [client 127.0.0.1:60221] PHP Parse error:  syntax error, unexpected '<' in /home/matias/Work/justicia/jus/app/View/Audiencias/nueva_audiencia.ctp on line 48
[Fri Apr 15 09:43:46.393628 2016] [:error] [pid 2908] [client 127.0.0.1:60961] PHP Parse error:  syntax error, unexpected '=>' (T_DOUBLE_ARROW) in /home/matias/Work/justicia/jus/app/Controller/AudienciasController.php on line 49
[Fri Apr 15 09:44:03.578507 2016] [:error] [pid 1213] [client 127.0.0.1:60964] PHP Parse error:  syntax error, unexpected '=>' (T_DOUBLE_ARROW) in /home/matias/Work/justicia/jus/app/Controller/AudienciasController.php on line 49
[Fri Apr 15 16:17:41.083110 2016] [:error] [pid 2914] [client 127.0.0.1:33642] PHP Parse error:  syntax error, unexpected '}' in /home/matias/Work/justicia/jus/app/View/Audiencias/nueva_audiencia.ctp on line 40, referer: http://jus.dev/Auth/login
[Sat Apr 16 16:42:36.081092 2016] [:error] [pid 13702] [client 127.0.0.1:41165] PHP Fatal error:  Call to a member function find() on a non-object in /home/matias/Work/justicia/jus/app/Controller/AudienciasController.php on line 81
[Sat Apr 16 16:43:54.668173 2016] [:error] [pid 13699] [client 127.0.0.1:41170] PHP Parse error:  syntax error, unexpected ')' in /home/matias/Work/justicia/jus/app/Controller/AudienciasController.php on line 82
[Sat Apr 16 16:43:59.367083 2016] [:error] [pid 13402] [client 127.0.0.1:41171] PHP Parse error:  syntax error, unexpected ')' in /home/matias/Work/justicia/jus/app/Controller/AudienciasController.php on line 82
[Sat Apr 16 16:44:02.396941 2016] [:error] [pid 13700] [client 127.0.0.1:41172] PHP Parse error:  syntax error, unexpected ')' in /home/matias/Work/justicia/jus/app/Controller/AudienciasController.php on line 82
[Sat Apr 16 16:59:38.210872 2016] [:error] [pid 13673] [client 127.0.0.1:41244] PHP Parse error:  syntax error, unexpected 'array' (T_ARRAY) in /home/matias/Work/justicia/jus/app/Controller/AudienciasController.php on line 83
[Sat Apr 16 16:59:58.381637 2016] [:error] [pid 13716] [client 127.0.0.1:41245] PHP Parse error:  syntax error, unexpected 'array' (T_ARRAY) in /home/matias/Work/justicia/jus/app/Controller/AudienciasController.php on line 83
[Sat Apr 16 19:25:21.146891 2016] [:error] [pid 13717] [client 127.0.0.1:41383] PHP Fatal error:  Call to a member function find() on a non-object in /home/matias/Work/justicia/jus/app/Controller/AudienciasController.php on line 82
[Sat Apr 16 19:25:32.695088 2016] [:error] [pid 13673] [client 127.0.0.1:41385] PHP Fatal error:  Call to a member function find() on a non-object in /home/matias/Work/justicia/jus/app/Controller/AudienciasController.php on line 82
[Sat Apr 16 19:34:06.487437 2016] [:error] [pid 13402] [client 127.0.0.1:41440] PHP Fatal error:  Call to a member function sql() on a non-object in /home/matias/Work/justicia/jus/app/Controller/AudienciasController.php on line 83
[Sat Apr 16 19:34:54.369373 2016] [:error] [pid 13700] [client 127.0.0.1:41444] PHP Fatal error:  Call to a member function sql() on a non-object in /home/matias/Work/justicia/jus/app/Controller/AudienciasController.php on line 84
[Sat Apr 16 19:35:01.408407 2016] [:error] [pid 13702] [client 127.0.0.1:41446] PHP Fatal error:  Call to a member function query() on a non-object in /home/matias/Work/justicia/jus/app/Controller/AudienciasController.php on line 84
[Sat Apr 16 19:40:31.946562 2016] [:error] [pid 13718] [client 127.0.0.1:41465] PHP Parse error:  syntax error, unexpected '?>', expecting function (T_FUNCTION) in /home/matias/Work/justicia/jus/app/Controller/AudienciasController.php on line 101, referer: http://jus.dev/Auth/login
[Sat Apr 16 19:40:36.947229 2016] [:error] [pid 13699] [client 127.0.0.1:41466] PHP Parse error:  syntax error, unexpected '?>', expecting function (T_FUNCTION) in /home/matias/Work/justicia/jus/app/Controller/AudienciasController.php on line 101, referer: http://jus.dev/Auth/login
[Sat Apr 16 19:47:13.422976 2016] [:error] [pid 13402] [client 127.0.0.1:41497] PHP Parse error:  syntax error, unexpected '=>' (T_DOUBLE_ARROW) in /home/matias/Work/justicia/jus/app/Controller/AudienciasController.php on line 84, referer: http://jus.dev/Auth/login
[Sun Apr 17 06:55:53.205824 2016] [:error] [pid 17427] [client 127.0.0.1:42689] PHP Parse error:  syntax error, unexpected 'getHorariosSalas' (T_STRING), expecting variable (T_VARIABLE) in /home/matias/Work/justicia/jus/app/Controller/AudienciasController.php on line 57, referer: http://jus.dev/Auth/login
[Sun Apr 17 07:31:06.696032 2016] [:error] [pid 17467] [client 127.0.0.1:43187] PHP Parse error:  syntax error, unexpected 'print_r' (T_STRING) in /home/matias/Work/justicia/jus/app/Controller/AudienciasController.php on line 51, referer: http://jus.dev/Auth/login
[Sun Apr 17 07:31:16.132030 2016] [:error] [pid 17428] [client 127.0.0.1:43189] PHP Parse error:  syntax error, unexpected ';' in /home/matias/Work/justicia/jus/app/Controller/AudienciasController.php on line 50, referer: http://jus.dev/Auth/login
[Sun Apr 17 09:43:53.207902 2016] [:error] [pid 17567] [client 127.0.0.1:43958] PHP Parse error:  syntax error, unexpected ';' in /home/matias/Work/justicia/jus/app/Controller/AudienciasController.php on line 71, referer: http://jus.dev/Auth/login
[Sun Apr 17 17:56:49.526923 2016] [:error] [pid 2676] [client 127.0.0.1:40966] PHP Parse error:  syntax error, unexpected ';', expecting ')' in /home/matias/Work/justicia/jus/app/Controller/AudienciasController.php on line 113, referer: http://jus.dev/Auth/login
[Sun Apr 17 20:47:27.643235 2016] [:error] [pid 2675] [client 127.0.0.1:41842] PHP Parse error:  syntax error, unexpected 'funcion' (T_STRING), expecting variable (T_VARIABLE) in /home/matias/Work/justicia/jus/app/Controller/AudienciasController.php on line 133
[Mon Apr 18 09:12:33.634898 2016] [:error] [pid 4481] [client 127.0.0.1:43613] PHP Fatal error:  Call to a member function find() on a non-object in /home/matias/Work/justicia/jus/app/Controller/AudienciasController.php on line 54, referer: http://jus.dev/Auth/login
[Mon Apr 18 09:19:12.426143 2016] [:error] [pid 4480] [client 127.0.0.1:43636] PHP Fatal error:  Call to a member function find() on a non-object in /home/matias/Work/justicia/jus/app/Controller/AudienciasController.php on line 54, referer: http://jus.dev/Auth/login
[Mon Apr 18 09:19:18.826647 2016] [:error] [pid 1214] [client 127.0.0.1:43637] PHP Fatal error:  Call to a member function find() on a non-object in /home/matias/Work/justicia/jus/app/Controller/AudienciasController.php on line 54, referer: http://jus.dev/Auth/login
[Mon Apr 18 09:31:00.885473 2016] [:error] [pid 1213] [client 127.0.0.1:43689] PHP Parse error:  syntax error, unexpected ''foreignKey'' (T_CONSTANT_ENCAPSED_STRING), expecting function (T_FUNCTION) in /home/matias/Work/justicia/jus/app/Model/Persona.php on line 13, referer: http://jus.dev/Auth/login
[Mon Apr 18 09:33:47.858546 2016] [:error] [pid 4227] [client 127.0.0.1:43694] PHP Parse error:  syntax error, unexpected ''foreignKey'' (T_CONSTANT_ENCAPSED_STRING), expecting function (T_FUNCTION) in /home/matias/Work/justicia/jus/app/Model/Cargo.php on line 14, referer: http://jus.dev/Auth/login
[Mon Apr 18 09:34:44.561448 2016] [:error] [pid 4480] [client 127.0.0.1:43695] PHP Parse error:  syntax error, unexpected ''foreignKey'' (T_CONSTANT_ENCAPSED_STRING), expecting function (T_FUNCTION) in /home/matias/Work/justicia/jus/app/Model/Cargo.php on line 14, referer: http://jus.dev/Auth/login
[Mon Apr 18 09:34:46.952789 2016] [:error] [pid 3724] [client 127.0.0.1:43696] PHP Parse error:  syntax error, unexpected ''foreignKey'' (T_CONSTANT_ENCAPSED_STRING), expecting function (T_FUNCTION) in /home/matias/Work/justicia/jus/app/Model/Cargo.php on line 14, referer: http://jus.dev/Auth/login
[Mon Apr 18 09:48:14.912208 2016] [:error] [pid 5402] [client 127.0.0.1:43738] PHP Parse error:  syntax error, unexpected '}' in /home/matias/Work/justicia/jus/app/View/Audiencias/nueva_audiencia.ctp on line 60, referer: http://jus.dev/Auth/login
[Mon Apr 18 09:48:33.914194 2016] [:error] [pid 1215] [client 127.0.0.1:43742] PHP Parse error:  syntax error, unexpected '}' in /home/matias/Work/justicia/jus/app/View/Audiencias/nueva_audiencia.ctp on line 60, referer: http://jus.dev/Auth/login
[Mon Apr 18 11:22:52.753828 2016] [:error] [pid 8611] [client 127.0.0.1:44679] PHP Fatal error:  Call to a member function find() on a non-object in /home/matias/Work/justicia/jus/app/Controller/AudienciasController.php on line 43
[Tue Apr 19 11:26:53.692714 2016] [:error] [pid 4227] [client 127.0.0.1:47817] PHP Parse error:  syntax error, unexpected 'exit' (T_EXIT) in /home/matias/Work/justicia/jus/app/Controller/AudienciasController.php on line 228, referer: http://jus.dev/Audiencias/nuevaAudiencia
[Tue Apr 19 12:47:22.322885 2016] [:error] [pid 5401] [client 127.0.0.1:48375] PHP Parse error:  syntax error, unexpected '{' in /home/matias/Work/justicia/jus/app/Controller/AudienciasController.php on line 240, referer: http://jus.dev/Audiencias/nuevaAudiencia
[Tue Apr 19 12:57:34.344698 2016] [:error] [pid 4481] [client 127.0.0.1:48467] PHP Fatal error:  Call to a member function set() on a non-object in /home/matias/Work/justicia/jus/app/Controller/AudienciasController.php on line 223, referer: http://jus.dev/Audiencias/nuevaAudiencia
[Tue Apr 19 13:21:34.093611 2016] [:error] [pid 8611] [client 127.0.0.1:48618] PHP Parse error:  syntax error, unexpected ';', expecting ')' in /home/matias/Work/justicia/jus/app/Model/Audiencia.php on line 59
[Tue Apr 19 13:21:47.956680 2016] [:error] [pid 5402] [client 127.0.0.1:48620] PHP Parse error:  syntax error, unexpected ';', expecting ')' in /home/matias/Work/justicia/jus/app/Model/Audiencia.php on line 58
[Tue Apr 19 13:22:02.846549 2016] [:error] [pid 1214] [client 127.0.0.1:48622] PHP Parse error:  syntax error, unexpected ''hora_fin'' (T_CONSTANT_ENCAPSED_STRING), expecting ')' in /home/matias/Work/justicia/jus/app/Model/Audiencia.php on line 49
[Tue Apr 19 13:49:35.771974 2016] [:error] [pid 5402] [client 127.0.0.1:48668] PHP Parse error:  syntax error, unexpected '=>' (T_DOUBLE_ARROW), expecting ')' in /home/matias/Work/justicia/jus/app/Controller/AudienciasController.php on line 213, referer: http://jus.dev/Audiencias/nuevaAudiencia
[Tue Apr 19 13:50:06.386845 2016] [:error] [pid 1213] [client 127.0.0.1:48672] PHP Parse error:  syntax error, unexpected ')' in /home/matias/Work/justicia/jus/app/Controller/AudienciasController.php on line 213, referer: http://jus.dev/Audiencias/nuevaAudiencia
[Tue Apr 19 13:52:10.014922 2016] [:error] [pid 1216] [client 127.0.0.1:48675] PHP Parse error:  syntax error, unexpected ')' in /home/matias/Work/justicia/jus/app/Controller/AudienciasController.php on line 220, referer: http://jus.dev/Audiencias/nuevaAudiencia
[Wed Apr 20 10:29:08.749963 2016] [:error] [pid 21555] [client 127.0.0.1:49745] PHP Parse error:  syntax error, unexpected ';', expecting ')' in /home/matias/Work/justicia/jus/app/Model/Cargo.php on line 14, referer: http://jus.dev/Auth/login
[Wed Apr 20 16:22:27.242862 2016] [:error] [pid 21555] [client 127.0.0.1:51038] PHP Parse error:  syntax error, unexpected 'if' (T_IF) in /home/matias/Work/justicia/jus/app/Controller/AudienciasController.php on line 259, referer: http://jus.dev/Auth/login
[Wed Apr 20 16:35:39.532899 2016] [:error] [pid 5402] [client 127.0.0.1:51075] PHP Fatal error:  Call to a member function find() on a non-object in /home/matias/Work/justicia/jus/app/Controller/AudienciasController.php on line 74
[Thu Apr 21 00:46:29.298923 2016] [:error] [pid 4067] [client 127.0.0.1:34530] PHP Parse error:  syntax error, unexpected ';', expecting ')' in /home/matias/Work/justicia/jus/app/Controller/AudienciasController.php on line 275, referer: http://jus.dev/Audiencias/nuevaAudiencia
